Sentence #;Word;POS;Tag
 ;el;DET;O
 ;órgano;NOUN;O
 ;regulador;ADJ;O
 ;del;ADP;O
 ;sector;NOUN;O
 ;,;PUNCT;O
 ;la;DET;O
 ;Agencia;PROPN;B-ORG
 ;Nacional;PROPN;I-ORG
 ;de;ADP;I-ORG
 ;Telecomunicaciones;PROPN;I-ORG
 ;(;PUNCT;O
 ;ANATEL;PROPN;B-ORG
 ;);PUNCT;O
 ;,;PUNCT;O
 ;en;ADP;O
 ;cuanto;NOUN;O
 ;a;ADP;O
 ;universalización;NOUN;O
 ;y;CCONJ;O
 ;calidad;NOUN;O
 ;del;ADP;O
 ;servicio;NOUN;O
 ;prestado;ADJ;O
 ;.;PUNCT;O
Sentence: 4;Telefónica;PROPN;B-ORG
 ;asumió;VERB;O
 ;un;DET;O
 ;compromiso;NOUN;O
 ;con;ADP;O
 ;Brasil;PROPN;B-LOC
 ;,;PUNCT;O
 ;y;CCONJ;O
 ;en;ADP;O
 ;especial;ADJ;O
 ;con;ADP;O
 ;Sao;PROPN;B-LOC
 ;Paulo;PROPN;I-LOC
 ;en;ADP;O
 ;1998;NOUN;O
 ;(;PUNCT;O
 ;año;NOUN;O
 ;de;ADP;O
 ;privatización;NOUN;O
 ;del;ADP;O
 ;sistema;NOUN;O
 ;Telebras;PROPN;B-MISC
 ;);PUNCT;O
 ;y;CCONJ;O
 ;estamos;VERB;O
 ;aquí;ADV;O
 ;para;ADP;O
 ;prestar;VERB;O
 ;cuentas;NOUN;O
 ;,;PUNCT;O
 ;dijo;VERB;O
 ;Ferreira;PROPN;B-PER
 ;en;ADP;O
 ;el;DET;O
 ;acto;NOUN;O
 ;de;ADP;O
 ;instalación;NOUN;O
 ;de;ADP;O
 ;la;DET;O
 ;línea;NOUN;O
 ;número;NOUN;O
 ;tres;NUM;O
 ;millones;NOUN;O
 ;de;ADP;O
 ;la;DET;O
 ;gestión;NOUN;O
 ;de;ADP;O
 ;Telefónica;PROPN;B-ORG
 ;.;PUNCT;O
Sentence: 5;También;ADV;O
 ;participaron;VERB;O
 ;en;ADP;O
 ;el;DET;O
 ;acto;NOUN;O
 ;el;DET;O
 ;consejero;NOUN;O
 ;delegado;NOUN;O
 ;de;ADP;O
 ;Telefónica;PROPN;B-ORG
 ;Internacional;PROPN;I-ORG
 ;,;PUNCT;O
 ;Antonio;PROPN;B-PER
 ;Viana;PROPN;I-PER
 ;Baptista;PROPN;I-PER
 ;";";PUNCT;O
 ;el;DET;O
 ;ministro;NOUN;O
 ;de;ADP;O
 ;Comunicaciones;PROPN;B-MISC
 ;de;ADP;I-MISC
 ;Brasil;PROPN;I-MISC
 ;,;PUNCT;O
 ;Joao;PROPN;B-PER
 ;Pimienta;PROPN;I-PER
 ;da;ADP;I-PER
 ;Veiga;PROPN;I-PER
 ;";";PUNCT;O
 ;el;DET;O
 ;presidente;NOUN;O
 ;de;ADP;O
 ;la;DET;O
 ;ANATEL;PROPN;B-ORG
 ;,;PUNCT;O
 ;Renato;PROPN;B-PER
 ;Navarro;PROPN;I-PER
 ;Guerreiro;PROPN;I-PER
 ;,;PUNCT;O
 ;y;CCONJ;O
 ;el;DET;O
 ;secretario;NOUN;O
 ;de;ADP;O
 ;Ciencia;PROPN;B-MISC
 ;.;PUNCT;O
Sentence: 6;Tecnología;PROPN;I-MISC
 ;del;ADP;I-MISC
 ;Estado;PROPN;I-MISC
 ;de;ADP;I-MISC
 ;Sao;PROPN;I-MISC
 ;Paulo;PROPN;I-MISC
 ;,;PUNCT;O
 ;José;PROPN;B-PER
 ;Aníbal;PROPN;I-PER
 ;Peres;PROPN;I-PER
 ;de;ADP;I-PER
 ;Pontes;PROPN;I-PER
 ;.;PUNCT;O
Sentence: 7;Con;ADP;O
 ;los;DET;O
 ;tres;NUM;O
 ;millones;NOUN;O
 ;de;ADP;O
 ;nuevas;ADJ;O
 ;líneas;NOUN;O
 ;fijas;ADJ;O
 ;en;ADP;O
 ;servicio;NOUN;O
 ;asciende;VERB;O
 ;a;ADP;O
 ;diez;NUM;O
 ;millones;NOUN;O
 ;el;DET;O
 ;total;NOUN;O
 ;de;ADP;O
 ;terminales;NOUN;O
 ;que;PRON;O
 ;tiene;VERB;O
 ;Telefónica;PROPN;B-ORG
 ;en;ADP;O
 ;el;DET;O
 ;estado;NOUN;O
 ;de;ADP;O
 ;Sao;PROPN;B-LOC
 ;Paulo;PROPN;I-LOC
 ;,;PUNCT;O
 ;lo;PRON;O
 ;que;PRON;O
 ;convierte;VERB;O
 ;a;ADP;O
 ;esta;DET;O
 ;región;NOUN;O
 ;brasileña;ADJ;O
 ;en;ADP;O
 ;el;DET;O
 ;área;NOUN;O
 ;con;ADP;O
 ;mayor;ADJ;O
 ;densidad;NOUN;O
 ;telefónica;ADJ;O
 ;por;ADP;O
 ;habitante;NOUN;O
 ;de;ADP;O
 ;América;PROPN;B-LOC
 ;Latina;PROPN;I-LOC
 ;,;PUNCT;O
 ;con;ADP;O
 ;25,6;NUM;O
 ;líneas;NOUN;O
 ;en;ADP;O
 ;funcionamiento;NOUN;O
 ;por;ADP;O
 ;cada;DET;O
 ;cien;NUM;O
 ;personas;NOUN;O
 ;.;PUNCT;O
Sentence: 8;Según;ADP;O
 ;los;DET;O
 ;datos;NOUN;O
 ;difundidos;ADJ;O
 ;hoy;ADV;O
 ;por;ADP;O
 ;Telefónica;PROPN;B-ORG
 ;,;PUNCT;O
 ;la;DET;O
 ;empresa;NOUN;O
 ;ha;AUX;O
 ;impuesto;VERB;O
 ;en;ADP;O
 ;Sao;PROPN;B-LOC
 ;Paulo;PROPN;I-LOC
 ;una;DET;O
 ;marca;NOUN;O
 ;mundial;ADJ;O
 ;en;ADP;O
 ;la;DET;O
 ;expansión;NOUN;O
 ;de;ADP;O
 ;redes;NOUN;O
 ;de;ADP;O
 ;telefonía;NOUN;O
 ;fija;ADJ;O
 ;,;PUNCT;O
 ;ya;ADV;O
 ;que;SCONJ;O
 ;instala;VERB;O
 ;una;DET;O
 ;línea;NOUN;O
 ;cada;DET;O
 ;15;NUM;O
 ;segundos;NOUN;O
 ;,;PUNCT;O
 ;lo;PRON;O
 ;que;PRON;O
 ;da;VERB;O
 ;una;DET;O
 ;media;NUM;O
 ;de;ADP;O
 ;180.000;NUM;O
 ;nuevas;ADJ;O
 ;terminales;NOUN;O
 ;mensuales;ADJ;O
 ;.;PUNCT;O
Sentence: 9;La;DET;O
 ;empresa;NOUN;O
 ;que;PRON;O
 ;ha;AUX;O
 ;instalado;VERB;O
 ;nuevas;ADJ;O
 ;líneas;NOUN;O
 ;a;ADP;O
 ;un;DET;O
 ;ritmo;NOUN;O
 ;más;ADV;O
 ;rápido;ADJ;O
 ;en;ADP;O
 ;el;DET;O
 ;mundo;NOUN;O
 ;es;AUX;O
 ;Telefónica;PROPN;B-ORG
 ;,;PUNCT;O
 ;en;ADP;O
 ;Sao;PROPN;B-LOC
 ;Paulo;PROPN;I-LOC
 ;,;PUNCT;O
 ;y;CCONJ;O
 ;por;ADP;O
 ;eso;PRON;O
 ;creemos;VERB;O
 ;que;SCONJ;O
 ;a;ADP;O
 ;fines;NOUN;O
 ;de;ADP;O
 ;2001;NOUN;O
 ;cumpliremos;VERB;O
 ;las;DET;O
 ;metas;NOUN;O
 ;previstas;ADJ;O
 ;para;ADP;O
 ;el;DET;O
 ;2003;NOUN;O
 ;,;PUNCT;O
 ;dijo;VERB;O
 ;a;ADP;O
 ;EFE;PROPN;B-ORG
 ;Viana;PROPN;B-PER
 ;Baptista;PROPN;I-PER
 ;.;PUNCT;O
Sentence: 10;El;DET;O
 ;objetivo;NOUN;O
 ;de;ADP;O
 ;la;DET;O
 ;empresa;NOUN;O
 ;es;AUX;O
 ;instalar;VERB;O
 ;hasta;ADP;O
 ;diciembre;NOUN;O
 ;del;ADP;O
 ;2001;NUM;O
 ;otros;DET;O
 ;tres;NUM;O
 ;millones;NOUN;O
 ;de;ADP;O
 ;nuevas;ADJ;O
 ;líneas;NOUN;O
 ;en;ADP;O
 ;el;DET;O
 ;estado;NOUN;O
 ;de;ADP;O
 ;Sao;PROPN;B-LOC
 ;Paulo;PROPN;I-LOC
 ;para;ADP;O
 ;acabar;VERB;O
 ;con;ADP;O
 ;la;DET;O
 ;lista;NOUN;O
 ;de;ADP;O
 ;clientes;NOUN;O
 ;en;ADP;O
 ;espera;NOUN;O
 ;,;PUNCT;O
 ;que;PRON;O
 ;llegó;VERB;O
 ;a;ADP;O
 ;tener;VERB;O
 ;seis;NUM;O
 ;millones;NOUN;O
 ;de;ADP;O
 ;personas;NOUN;O
 ;registradas;ADJ;O
 ;antes;ADV;O
 ;de;ADP;O
 ;la;DET;O
 ;entrada;NOUN;O
 ;de;ADP;O
 ;Telefónica;PROPN;B-ORG
 ;.;PUNCT;O
Sentence: 11;El;DET;O
 ;consejero;NOUN;O
 ;delegado;NOUN;O
 ;de;ADP;O
 ;Telefónica;PROPN;B-ORG
 ;Internacional;PROPN;I-ORG
 ;agregó;VERB;O
 ;que;SCONJ;O
 ;,;PUNCT;O
 ;como;SCONJ;O
 ;la;DET;O
 ;multinacional;NOUN;O
 ;española;ADJ;O
 ;está;AUX;O
 ;cumpliendo;VERB;O
 ;con;ADP;O
 ;anticipación;NOUN;O
 ;todas;DET;O
 ;las;DET;O
 ;metas;NOUN;O
 ;fijadas;ADJ;O
 ;por;ADP;O
 ;la;DET;O
 ;ANATEL;PROPN;B-ORG
 ;,;PUNCT;O
 ;los;DET;O
 ;directivos;NOUN;O
 ;de;ADP;O
 ;la;DET;O
 ;compañía;NOUN;O
 ;ya;ADV;O
 ;están;AUX;O
 ;pensando;VERB;O
 ;en;ADP;O
 ;actuar;VERB;O
 ;a;ADP;O
 ;nivel;NOUN;O
 ;nacional;ADJ;O
 ;a;ADP;O
 ;partir;NOUN;O
 ;de;ADP;O
 ;enero;NOUN;O
 ;de;ADP;O
 ;2002;NUM;O
 ;,;PUNCT;O
 ;cuando;PRON;O
 ;será;AUX;O
 ;liberado;VERB;O
 ;el;DET;O
 ;sector;NOUN;O
 ;de;ADP;O
 ;las;DET;O
 ;telecomunicaciones;NOUN;O
 ;en;ADP;O
 ;Brasil;PROPN;B-LOC
 ;.;PUNCT;O
Sentence: 12;Telefónica;PROPN;B-ORG
 ;es;AUX;O
 ;la;DET;O
 ;mayor;ADJ;O
 ;operadora;NOUN;O
 ;de;ADP;O
 ;telefonía;NOUN;O
 ;de;ADP;O
 ;Brasil;PROPN;B-LOC
 ;,;PUNCT;O
 ;ya;ADV;O
 ;que;SCONJ;O
 ;además;ADV;O
 ;de;ADP;O
 ;Telesp;PROPN;B-ORG
 ;,;PUNCT;O
 ;de;ADP;O
 ;Sao;PROPN;B-LOC
 ;Paulo;PROPN;I-LOC
 ;,;PUNCT;O
 ;tiene;VERB;O
 ;el;DET;O
 ;control;NOUN;O
 ;accionarial;ADJ;O
 ;de;ADP;O
 ;Tele;PROPN;B-ORG
 ;Sudeste;PROPN;I-ORG
 ;Celular;PROPN;I-ORG
 ;,;PUNCT;O
 ;que;PRON;O
 ;opera;VERB;O
 ;la;DET;O
 ;telefonía;NOUN;O
 ;móvil;ADJ;O
 ;en;ADP;O
 ;los;DET;O
 ;estados;NOUN;O
 ;de;ADP;O
 ;Río;PROPN;B-LOC
 ;de;ADP;I-LOC
 ;Janeiro;PROPN;I-LOC
 ;y;CCONJ;O
 ;Espíritu;PROPN;B-LOC
 ;Santo;PROPN;I-LOC
 ;,;PUNCT;O
 ;y;CCONJ;O
 ;de;ADP;O
 ;la;DET;O
 ;Compañía;PROPN;B-ORG
 ;Riograndense;PROPN;I-ORG
 ;de;ADP;I-ORG
 ;Telecomunicaciones;PROPN;I-ORG
 ;(;PUNCT;O
 ;CRT;PROPN;B-ORG
 ;);PUNCT;O
 ;,;PUNCT;O
 ;de;ADP;O
 ;Río;PROPN;B-LOC
 ;Grande;ADJ;I-LOC
 ;do;ADP;I-LOC
 ;Sul;PROPN;I-LOC
 ;,;PUNCT;O
 ;cuya;PRON;O
 ;venta;NOUN;O
 ;para;ADP;O
 ;el;DET;O
 ;grupo;NOUN;O
 ;Brasil;PROPN;B-ORG
 ;Telecom;PROPN;I-ORG
 ;se;PRON;O
 ;definirá;VERB;O
 ;el;DET;O
 ;mes;NOUN;O
 ;próximo;ADJ;O
 ;.;PUNCT;O
Sentence: 13;La;DET;O
 ;empresa;NOUN;O
 ;también;ADV;O
 ;tiene;VERB;O
 ;participación;NOUN;O
 ;en;ADP;O
 ;Tele;PROPN;B-ORG
 ;Leste;PROPN;I-ORG
 ;Celular;PROPN;I-ORG
 ;,;PUNCT;O
 ;operadora;NOUN;O
 ;móvil;ADJ;O
 ;de;ADP;O
 ;los;DET;O
 ;estados;NOUN;O
 ;de;ADP;O
 ;Bahía;PROPN;B-LOC
 ;y;CCONJ;O
 ;Sergipe;PROPN;B-LOC
 ;y;CCONJ;O
 ;que;PRON;O
 ;es;AUX;O
 ;controlada;VERB;O
 ;por;ADP;O
 ;la;DET;O
 ;española;ADJ;O
 ;Iberdrola;PROPN;B-ORG
 ;,;PUNCT;O
 ;y;CCONJ;O
 ;además;ADV;O
 ;es;AUX;O
 ;socia;NOUN;O
 ;de;ADP;O
 ;Portugal;PROPN;B-ORG
 ;Telecom;PROPN;I-ORG
 ;en;ADP;O
 ;Telesp;PROPN;B-ORG
 ;Celular;PROPN;I-ORG
 ;,;PUNCT;O
 ;la;DET;O
 ;operadora;NOUN;O
 ;móvil;ADJ;O
 ;de;ADP;O
 ;Sao;PROPN;B-LOC
 ;Paulo;PROPN;I-LOC
 ;.;PUNCT;O
Sentence: 14;Estamos;AUX;O
 ;satisfechos;ADJ;O
 ;con;ADP;O
 ;el;DET;O
 ;trabajo;NOUN;O
 ;hecho;ADJ;O
 ;y;CCONJ;O
 ;por;ADP;O
 ;eso;PRON;O
 ;pensamos;VERB;O
 ;en;ADP;O
 ;comprar;VERB;O
 ;el;DET;O
 ;cien;NUM;O
 ;por;ADP;O
 ;ciento;NUM;O
 ;de;ADP;O
 ;las;DET;O
 ;acciones;NOUN;O
 ;de;ADP;O
 ;las;DET;O
 ;empresas;NOUN;O
 ;controladas;ADJ;O
 ;,;PUNCT;O
 ;ya;ADV;O
 ;que;SCONJ;O
 ;creemos;VERB;O
 ;en;ADP;O
 ;el;DET;O
 ;potencial;NOUN;O
 ;que;PRON;O
 ;tiene;VERB;O
 ;Brasil;PROPN;B-LOC
 ;y;CCONJ;O
 ;,;PUNCT;O
 ;en;ADP;O
 ;particular;NOUN;O
 ;,;PUNCT;O
 ;el;DET;O
 ;sector;NOUN;O
 ;de;ADP;O
 ;telecomunicaciones;NOUN;O
 ;,;PUNCT;O
 ;añadió;VERB;O
 ;Viana;PROPN;B-PER
 ;Baptista;PROPN;I-PER
 ;.;PUNCT;O
Sentence: 15;Esa;DET;O
 ;operación;NOUN;O
 ;de;ADP;O
 ;compra;NOUN;O
 ;se;PRON;O
 ;hará;VERB;O
 ;mediante;ADP;O
 ;el;DET;O
 ;lanzamiento;NOUN;O
 ;de;ADP;O
 ;una;DET;O
 ;Oferta;PROPN;B-MISC
 ;Pública;PROPN;I-MISC
 ;de;ADP;I-MISC
 ;Acciones;PROPN;I-MISC
 ;(;PUNCT;O
 ;OPA;PROPN;B-MISC
 ;);PUNCT;O
 ;,;PUNCT;O
 ;que;PRON;O
 ;además;ADV;O
 ;de;ADP;O
 ;Telesp;PROPN;B-ORG
 ;y;CCONJ;O
 ;de;ADP;O
 ;Tele;PROPN;B-ORG
 ;Sudeste;PROPN;I-ORG
 ;Celular;PROPN;I-ORG
 ;,;PUNCT;O
 ;incluye;VERB;O
 ;a;ADP;O
 ;las;DET;O
 ;filiales;NOUN;O
 ;del;ADP;O
 ;grupo;NOUN;O
 ;español;ADJ;O
 ;en;ADP;O
 ;Argentina;PROPN;B-LOC
 ;y;CCONJ;O
 ;Perú;PROPN;B-LOC
 ;.;PUNCT;O
Sentence: 16;Según;ADP;O
 ;Viana;PROPN;B-PER
 ;Baptista;PROPN;I-PER
 ;,;PUNCT;O
 ;Telefónica;PROPN;B-ORG
 ;ya;ADV;O
 ;obtuvo;VERB;O
 ;la;DET;O
 ;autorización;NOUN;O
 ;de;ADP;O
 ;los;DET;O
 ;órganos;NOUN;O
 ;reguladores;ADJ;O
 ;de;ADP;O
 ;Argentina;PROPN;B-LOC
 ;,;PUNCT;O
 ;Perú;PROPN;B-LOC
 ;,;PUNCT;O
 ;y;CCONJ;O
 ;de;ADP;O
 ;la;DET;O
 ;bolsa;NOUN;O
 ;de;ADP;O
 ;Nueva;PROPN;B-LOC
 ;York;PROPN;I-LOC
 ;,;PUNCT;O
 ;donde;PRON;O
 ;se;PRON;O
 ;negociarán;VERB;O
 ;las;DET;O
 ;acciones;NOUN;O
 ;de;ADP;O
 ;las;DET;O
 ;cuatro;NUM;O
 ;empresas;NOUN;O
 ;como;SCONJ;O
 ;American;PROPN;B-ORG
 ;Depositary;PROPN;I-ORG
 ;Receipts;PROPN;I-ORG
 ;(;PUNCT;O
 ;ADR's;NOUN;B-ORG
 ;);PUNCT;O
 ;.;PUNCT;O
Sentence: 17;Sólo;ADV;O
 ;falta;VERB;O
 ;el;DET;O
 ;visto;NOUN;O
 ;bueno;ADJ;O
 ;de;ADP;O
 ;las;DET;O
 ;autoridades;NOUN;O
 ;brasileñas;ADJ;O
 ;para;ADP;O
 ;hacer;VERB;O
 ;efectiva;ADJ;O
 ;la;DET;O
 ;operación;NOUN;O
 ;de;ADP;O
 ;compra;NOUN;O
 ;en;ADP;O
 ;junio;NOUN;O
 ;próximo;ADJ;O
 ;.;PUNCT;O
Sentence: 18;Hoy;ADV;O
 ;tendremos;VERB;O
 ;una;DET;O
 ;reunión;NOUN;O
 ;con;ADP;O
 ;la;DET;O
 ;Comisión;PROPN;B-ORG
 ;de;ADP;I-ORG
 ;Valores;PROPN;I-ORG
 ;Mobiliarios;PROPN;I-ORG
 ;(;PUNCT;O
 ;CVM;PROPN;B-ORG
 ;);PUNCT;O
 ;y;CCONJ;O
 ;,;PUNCT;O
 ;si;SCONJ;O
 ;conseguimos;VERB;O
 ;esa;DET;O
 ;aprobación;NOUN;O
 ;,;PUNCT;O
 ;lanzaremos;VERB;O
 ;las;DET;O
 ;OPAS;PROPN;B-MISC
 ;de;ADP;O
 ;forma;NOUN;O
 ;simultánea;ADJ;O
 ;en;ADP;O
 ;Argentina;PROPN;B-LOC
 ;,;PUNCT;O
 ;Brasil;PROPN;B-LOC
 ;,;PUNCT;O
 ;Perú;PROPN;B-LOC
 ;y;CCONJ;O
 ;Estados;PROPN;B-LOC
 ;Unidos;PROPN;I-LOC
 ;,;PUNCT;O
 ;afirmó;VERB;O
 ;.;PUNCT;O
Sentence: 19;Por;ADP;O
 ;Juan;PROPN;B-PER
 ;Miguel;PROPN;I-PER
 ;Núñez;PROPN;I-PER
 ;Madrid;PROPN;B-LOC
 ;,;PUNCT;O
 ;23;NUM;O
 ;may;NOUN;O
 ;(;PUNCT;O
 ;EFE;PROPN;B-ORG
 ;);PUNCT;O
 ;.;PUNCT;O
Sentence: 20;-;PUNCT;O
 ;El;DET;O
 ;novillero;NOUN;O
 ;salmantino;ADJ;O
 ;Javier;PROPN;B-PER
 ;Castaño;PROPN;I-PER
 ;conoce;VERB;O
 ;desde;ADP;O
 ;hoy;ADV;O
 ;la;DET;O
 ;gloria;NOUN;O
 ;del;ADP;O
 ;toreo;NOUN;O
 ;,;PUNCT;O
 ;de;ADP;O
 ;la;DET;O
 ;salida;NOUN;O
 ;a;ADP;O
 ;hombros;NOUN;O
 ;por;ADP;O
 ;la;DET;O
 ;Puerta;PROPN;B-MISC
 ;Grande;ADJ;I-MISC
 ;de;ADP;I-MISC
 ;Las;DET;I-MISC
 ;Ventas;PROPN;I-MISC
 ;,;PUNCT;O
 ;reconocimiento;NOUN;O
 ;a;ADP;O
 ;una;DET;O
 ;emocionantísima;NOUN;O
 ;actuación;NOUN;O
 ;,;PUNCT;O
 ;de;ADP;O
 ;tan;ADV;O
 ;buena;ADJ;O
 ;compostura;NOUN;O
 ;como;SCONJ;O
 ;valor;NOUN;O
 ;.;PUNCT;O
Sentence: 21;FICHA;NOUN;O
 ;DEL;ADP;O
 ;FESTEJO;NOUN;O
 ;.;PUNCT;O
Sentence: 22;-;PUNCT;O
 ;Novillos;PROPN;O
 ;de;ADP;O
 ;El;DET;I-MISC
 ;Torreón;PROPN;I-MISC
 ;,;PUNCT;O
 ;bien;ADV;O
 ;presentados;ADJ;O
 ;y;CCONJ;O
 ;de;ADP;O
 ;buen;ADJ;O
 ;juego;NOUN;O
 ;.;PUNCT;O
Sentence: 23;Los;DET;O
 ;seis;NUM;O
 ;,;PUNCT;O
 ;nobles;ADJ;O
 ;,;PUNCT;O
 ;con;ADP;O
 ;fijeza;NOUN;O
 ;y;CCONJ;O
 ;movilidad;NOUN;O
 ;,;PUNCT;O
 ;aplaudidos;ADJ;O
 ;en;ADP;O
 ;el;DET;O
 ;arrastre;NOUN;O
 ;.;PUNCT;O
Sentence: 24;Víctor;PROPN;B-PER
 ;de;ADP;I-PER
 ;la;DET;I-PER
 ;Serna;PROPN;I-PER
 ;:;PUNCT;O
 ;pinchazo;NOUN;O
 ;,;PUNCT;O
 ;estocada;NOUN;O
 ;y;CCONJ;O
 ;tres;NUM;O
 ;descabellos;NOUN;O
 ;(;PUNCT;O
 ;silencio;NOUN;O
 ;tras;ADP;O
 ;un;DET;O
 ;aviso;NOUN;O
 ;);PUNCT;O
 ;";";PUNCT;O
 ;y;CCONJ;O
 ;pinchazo;NOUN;O
 ;y;CCONJ;O
 ;estocada;NOUN;O
 ;que;PRON;O
 ;escupe;VERB;O
 ;(;PUNCT;O
 ;silencio;NOUN;O
 ;);PUNCT;O
 ;.;PUNCT;O
Sentence: 25;Sebastián;PROPN;B-PER
 ;Castella;PROPN;I-PER
 ;:;PUNCT;O
 ;estocada;NOUN;O
 ;desprendida;ADJ;O
 ;(;PUNCT;O
 ;silencio;NOUN;O
 ;tras;ADP;O
 ;un;DET;O
 ;aviso;NOUN;O
 ;);PUNCT;O
 ;";";PUNCT;O
 ;y;CCONJ;O
 ;dos;NUM;O
 ;pinchazos;NOUN;O
 ;,;PUNCT;O
 ;estocada;NOUN;O
 ;y;CCONJ;O
 ;descabello;NOUN;O
 ;(;PUNCT;O
 ;silencio;NOUN;O
 ;);PUNCT;O
 ;.;PUNCT;O
Sentence: 26;Javier;PROPN;B-PER
 ;Castaño;PROPN;I-PER
 ;:;PUNCT;O
 ;estocada;NOUN;O
 ;chalequera;ADJ;O
 ;(;PUNCT;O
 ;vuelta;PROPN;O
 ;tras;ADP;O
 ;petición;NOUN;O
 ;de;ADP;O
 ;oreja;PROPN;O
 ;);PUNCT;O
 ;";";PUNCT;O
 ;y;CCONJ;O
 ;estocada;NOUN;O
 ;(;PUNCT;O
 ;dos;NUM;O
 ;orejas;NOUN;O
 ;);PUNCT;O
 ;.;PUNCT;O
Sentence: 27;Cuadrillas;PROPN;O
 ;:;PUNCT;O
 ;Domingo;PROPN;B-PER
 ;Siro;PROPN;I-PER
 ;saludó;VERB;O
 ;tras;ADP;O
 ;banderillear;VERB;O
 ;al;ADP;O
 ;tercero;ADJ;O
 ;.;PUNCT;O
Sentence: 28;La;DET;O
 ;plaza;NOUN;O
 ;casi;ADV;O
 ;se;PRON;O
 ;llenó;VERB;O
 ;en;ADP;O
 ;tarde;ADV;O
 ;de;ADP;O
 ;nubes;NOUN;O
 ;altas;ADJ;O
 ;y;CCONJ;O
 ;agradable;ADJ;O
 ;temperatura;NOUN;O
 ;.;PUNCT;O
Sentence: 29;-;PUNCT;O
 ;DISPOSICION;NOUN;O
 ;PARA;ADP;O
 ;TRIUNFAR;PROPN;O
 ;Un;DET;O
 ;novillero;NOUN;O
 ;y;CCONJ;O
 ;seis;NUM;O
 ;novillos;NOUN;O
 ;,;PUNCT;O
 ;Javier;PROPN;B-PER
 ;Castaño;PROPN;I-PER
 ;y;CCONJ;O
 ;los;DET;O
 ;del;ADP;O
 ;Torreón;PROPN;I-MISC
 ;,;PUNCT;O
 ;fueron;AUX;O
 ;los;DET;O
 ;verdaderos;ADJ;O
 ;protagonistas;NOUN;O
 ;de;ADP;O
 ;la;DET;O
 ;tarde;NOUN;O
 ;.;PUNCT;O
Sentence: 30;Estos;PRON;O
 ;por;ADP;O
 ;su;DET;O
 ;magnífica;ADJ;O
 ;presentación;NOUN;O
 ;y;CCONJ;O
 ;extraordinaria;ADJ;O
 ;condición;NOUN;O
 ;para;ADP;O
 ;ver;VERB;O
 ;y;CCONJ;O
 ;hacer;VERB;O
 ;el;DET;O
 ;toreo;NOUN;O
 ;:;PUNCT;O
 ;una;DET;O
 ;verdadera;ADJ;O
 ;corrida;NOUN;O
 ;de;ADP;O
 ;toros;NOUN;O
 ;,;PUNCT;O
 ;y;CCONJ;O
 ;con;ADP;O
 ;calidad;NOUN;O
 ;.;PUNCT;O
Sentence: 31;Aquel;PRON;O
 ;,;PUNCT;O
 ;el;DET;O
 ;joven;ADJ;O
 ;novillero;NOUN;O
 ;,;PUNCT;O
